,整数位,小数位,LAMBDA
1884,-8,76925584472074 ,-8.769255845
1885,-8,769255841326 ,-8.007692558
1886,-8,76925584472074 ,-8.769255845
1887,-8,76925584472074 ,-8.769255845
1888,-5,7562366497896 ,-5.075623665
1889,-8,76925584472074 ,-8.769255845
1890,-5,37592214347891 ,-5.375922143
1891,-8,76925584472074 ,-8.769255845
1892,-8,76925584472074 ,-8.769255845
1893,-6,41401582486746 ,-6.414015825
1894,-6,41114399510273 ,-6.411143995
1895,-6,41145876494045 ,-6.411458765
1896,-5,76223719952303 ,-5.7622372
1897,-6,41327241000995 ,-6.41327241
1898,-6,41277639517721 ,-6.412776395
1899,-3,94731279553861 ,-3.947312796
1900,-6,41550007625277 ,-6.415500076
1901,-8,76925584472074 ,-8.769255845
1902,-6,41145876494045 ,-6.411458765
1903,-1,33010650964417 ,-1.33010651
1904,-8,76925584472074 ,-8.769255845
1905,-4,86501765038215 ,-4.86501765
1906,-4,83669913112633 ,-4.836699131
1907,-6,40916661980014 ,-6.40916662
1908,-8,76925584472074 ,-8.769255845
1909,-8,76925584472074 ,-8.769255845
1910,-6,41327241000995 ,-6.41327241
1911,-8,76925584472064 ,-8.769255845
1912,-3,52964768733038 ,-3.529647687
1913,-8,76925584472074 ,-8.769255845
1914,-8,76925584472074 ,-8.769255845
1915,-4,39611119686492 ,-4.396111197
1916,-6,41327241000995 ,-6.41327241
1917,-6,41277639517722 ,-6.412776395
1918,-3,29012952345646 ,-3.290129523
1919,-3,21924279413306 ,-3.219242794
1920,-8,76925584472074 ,-8.769255845
1921,-5,75897145580478 ,-5.758971456
1922,-2,85345375676277 ,-2.853453757
1923,-5,75212650441101 ,-5.752126504
1924,-8,76925584472074 ,-8.769255845
1925,-5,36445817687837 ,-5.364458177
1926,-5,75221332888493 ,-5.752213329
1927,-8,76925584472074 ,-8.769255845
1928,-6,41240418622659 ,-6.412404186
1929,-5,76223719952303 ,-5.7622372
1930,-6,41210630175738 ,-6.412106302
1931,-5,76449025307443 ,-5.764490253
1932,-6,41327241000995 ,-6.41327241
1933,-6,41129311007661 ,-6.41129311
1934,-6,41210630135121 ,-6.412106301
1935,-6,41076936373693 ,-6.410769364
1936,-5,75772562649584 ,-5.757725626
1937,-4,1693579241427 ,-4.016935792
1938,-2,5564565475821 ,-2.055645655
1939,-8,76925584472074 ,-8.769255845
1940,-8,76925584472074 ,-8.769255845
1941,-8,76925584472074 ,-8.769255845
1942,-5,75929732382153 ,-5.759297324
1943,-6,41550007624983 ,-6.415500076
1944,-5,75553418773553 ,-5.755534188
1945,-1,84765195823263 ,-1.847651958
1946,-8,76925584472074 ,-8.769255845
1947,-6,41401582486746 ,-6.414015825
1948,-8,76925584472074 ,-8.769255845
1949,-6,41186291694832 ,-6.411862917
1950,-6,41240418622659 ,-6.412404186
1951,-5,8274761871115 ,-5.082747619
1952,-6,41056592751437 ,-6.410565928
1953,-8,76925584472074 ,-8.769255845
1954,-5,75781529677068 ,-5.757815297
1955,-8,76925584472074 ,-8.769255845
1956,-5,8567259938772 ,-5.085672599
1957,-8,76925584472074 ,-8.769255845
1958,-8,76925584472074 ,-8.769255845
1959,-8,76925584472074 ,-8.769255845
1960,-1,49771388434304 ,-1.497713884
1961,-8,76925584472074 ,-8.769255845
1962,-5,75717234238127 ,-5.757172342
1963,-8,76925584472074 ,-8.769255845
1964,-5,75153713030741 ,-5.75153713
